# CALIFAID    GALAXY_NAME              X_CENTER      Y_CENTER      APERTURE(")  
  CALIFA291   NGC2955                  219.0720062   216.5059967   45.0         
  CALIFA292   NGC2968                  219.0720062   216.5059967   55.0         
  CALIFA293   NGC2965                  217.3609924   218.2160034   45.0         
  CALIFA294   NGC2959                  223.3500061   217.3609924   55.0         
  CALIFA295   UGC05215                 221.1340027   213.4519958   45.0         
  CALIFA296   IC0565                   217.3609924   218.2169952   55.0         
  CALIFA297   UGC05244                 213.4519958   223.6940002   55.0         
  CALIFA298   UGC05267                 218.2169952   217.3609924   55.0         
  CALIFA299   NGC3021                  216.5059967   219.0720062   55.0         
  CALIFA300   UGC05315                 221.6390076   218.2160034   55.0         
  CALIFA301   UGC05320                 221.6390076   218.2160034   55.0         
  CALIFA302   NGC3053                  220.7830048   219.0720062   55.0         
  CALIFA303   NGC3043                  219.9279938   217.3609924   55.0         
  CALIFA304   NGC3060                  219.0720062   218.2160034   55.0         
  CALIFA305   NGC3070                  217.3609924   219.0720062   55.0         
  CALIFA307   UGC05359                 220.7830048   216.5059967   55.0         
  CALIFA308   NGC3075                  218.572998    149.4389954   55.0         
  CALIFA309   UGC05396                 220.2799988   221.1329956   55.0         
  CALIFA310   SDSSJ100141.02+371447.4  216.5059967   215.6499939   55.0         
  CALIFA311   NGC3106                  219.0720062   217.3609924   55.0         
  CALIFA312   NGC3057                  220.2799988   216.8659973   40.0         
  CALIFA313   UGC05481                 219.0720062   217.3609924   55.0         
  CALIFA314   UGC05498NED01            216.5059967   217.3609924   40.0         
  CALIFA315   UGC05499                 218.2169952   217.3609924   55.0         
  CALIFA316   IC0598                   220.7830048   218.2169952   30.0         
  CALIFA317   NGC3153                  219.9279938   215.6499939   55.0         
  CALIFA318   NGC3158                  219.427002    217.7189941   55.0         
  CALIFA319   NGC3160                  216.8659973   214.3049927   55.0         
  CALIFA320   UGC05520                 222.8410034   219.4259949   55.0         
  CALIFA321   UGC05529                 219.0720062   219.0720062   55.0         
  CALIFA322   NGC3179                  220.2799988   216.8659973   25.0         
  CALIFA323   NGC3182                  221.1340027   217.7189941   55.0         
  CALIFA324   NGC3209                  219.0720062   219.0720062   55.0         
  CALIFA325   UGC05597                 219.427002    214.3049927   55.0         
  CALIFA326   UGC05598                 220.2799988   217.7189941   55.0         
  CALIFA327   UGC05604                 220.2799988   197.2350006   55.0         
  CALIFA328   NGC3230                  217.3609924   218.2160034   55.0         
  CALIFA329   UGC05642                 221.1340027   217.7189941   55.0         
  CALIFA330   NGC3237                  220.7830048   218.2160034   35.0         
  CALIFA331   UGC05657                 131.8150024   216.5059967   55.0         
  CALIFA332   NGC3251                  221.6390076   216.5059967   40.0         
  CALIFA333   UGC05680                 218.572998    219.4259949   55.0         
  CALIFA334   UGC05695                 212.598999    218.572998    55.0         
  CALIFA335   UGC05693                 219.9279938   215.6499939   55.0         
  CALIFA336   UGC05713                 222.4940033   218.2160034   55.0         
  CALIFA337   UGC05727                 220.2799988   218.572998    55.0         
  CALIFA338   UGC05760                 221.1340027   217.7189941   55.0         
  CALIFA339   NGC3300                  219.9279938   218.2160034   55.0         
  CALIFA340   NGC3303                  220.2799988   217.7189941   55.0         
  CALIFA341   UGC05771                 218.572998    216.8659973   55.0         
  CALIFA342   NGC3304                  218.2169952   219.0720062   55.0         
  CALIFA343   NGC3320                  218.572998    217.7189941   55.0         
  CALIFA344   NGC3332                  221.9869995   216.8659973   55.0         
  CALIFA345   NGC3334                  215.6499939   219.0720062   55.0         
  CALIFA346   UGC05820                 218.2169952   219.0720062   35.0         
  CALIFA347   NGC3352                  218.572998    216.8659973   35.0         
  CALIFA348   UGC05855                 220.7830048   217.3609924   40.0         
  CALIFA349   UGC05859                 94.1740036    214.7949982   20.0         
  CALIFA350   NGC3363                  219.0720062   217.3609924   55.0         
  CALIFA351   UGC05894                 218.2169952   215.6499939   55.0         
  CALIFA352   IC0642                   219.427002    216.0119934   55.0         
  CALIFA353   NGC3381                  219.9279938   219.0720062   55.0         
  CALIFA354   UGC05924                 221.1340027   215.1589966   55.0         
  CALIFA355   NGC3395                  233.0829926   214.3049927   45.0         
  CALIFA356   UGC05957                 219.9279938   217.3609924   55.0         
  CALIFA357   NGC3419A                 218.572998    218.572998    55.0         
  CALIFA358   NGC3426                  219.427002    219.4259949   55.0         
  CALIFA359   NGC3415                  217.3609924   216.5059967   55.0         
  CALIFA361   UGC05990                 218.572998    216.8659973   55.0         
  CALIFA362   NGC3440                  218.2169952   218.2160034   55.0         
  CALIFA363   NGC3462                  223.6940002   216.8659973   55.0         
  CALIFA364   UGC06036                 218.572998    217.7189941   55.0         
  CALIFA365   NGC3468                  219.0720062   218.2160034   55.0         
  CALIFA366   UGC06062                 133.2220001   221.1329956   35.0         
  CALIFA367   UGC06063                 221.9869995   218.572998    55.0         
  CALIFA368   NGC3471                  219.427002    217.7189941   60.0         
  CALIFA369   NGC3488                  221.6390076   217.3609924   55.0         
  CALIFA370   UGC06104                 219.427002    217.7189941   55.0         
  CALIFA371   UGC06106                 219.0720062   218.2160034   55.0         
  CALIFA372   UGC06136                 219.0720062   219.0720062   55.0         
  CALIFA373   UGC06148                 219.427002    218.572998    55.0         
  CALIFA374   UGC06176                 218.2169952   219.0720062   55.0         
  CALIFA376   UGC06199                 218.2169952   214.7949982   55.0         
  CALIFA377   UGC06207                 219.9279938   219.0720062   35.0         
  CALIFA378   NGC3547                  219.0720062   223.348999    55.0         
  CALIFA379   NGC3543                  218.572998    100.788002    40.0         
  CALIFA380   UGC06219                 224.5480042   215.1589966   45.0         
  CALIFA381   IC0674                   220.7830048   222.4940033   50.0         
  CALIFA382   NGC3561                  219.427002    204.9170074   35.0         
  CALIFA383   UGC06256                 219.427002    218.572998    55.0         
  CALIFA384   IC0677                   219.427002    217.7189941   55.0         
  CALIFA385   UGC06273                 219.427002    218.572998    55.0         
  CALIFA386   UGC06312                 219.427002    218.572998    55.0         
  CALIFA387   NGC3615                  219.9279938   215.6499939   55.0         
  CALIFA388   NGC3614                  214.3059998   214.3049927   60.0         
  CALIFA389   NGC3610                  219.9279938   216.5059967   40.0         
  CALIFA390   UGC06332                 219.0720062   220.7830048   55.0         
  CALIFA391   NGC3619                  220.7830048   220.7830048   55.0         
  CALIFA392   UGC06336                 82.1969986    140.3690033   55.0         
  CALIFA393   NGC3625                  219.0720062   219.927002    55.0         
  CALIFA394   NGC3629                  223.3500061   214.7949982   55.0         
  CALIFA395   UGC06355                 210.5180054   219.0720062   45.0         
  CALIFA396   CGCG126-035              106.1500015   269.5450134   55.0         
  CALIFA397   UGC06380                 219.0720062   217.3609924   55.0         
  CALIFA398   UGC06383                 222.4940033   216.5059967   55.0         
  CALIFA399   NGC3649                  216.0130005   219.4259949   55.0         
  CALIFA400   NGC3642                  219.0720062   218.2160034   55.0         
  CALIFA401   IC2763                   222.8410034   217.7189941   55.0         
  CALIFA402   NGC3648                  219.0720062   216.5059967   55.0         
  CALIFA403   NGC3650                  222.4940033   215.6499939   55.0         
  CALIFA404   NGC3652                  222.8410034   221.9869995   55.0         
  CALIFA405   UGC06397                 219.9279938   216.5059967   60.0         
  CALIFA406   NGC3656                  217.3609924   213.9389954   60.0         
  CALIFA407   UGC06414                 220.7830048   219.0720062   55.0         
  CALIFA408   NGC3668                  215.6499939   217.3609924   55.0         
  CALIFA409   UGC06433                 216.0130005   219.4259949   55.0         
  CALIFA410   NGC3674                  218.2169952   219.0720062   20.0         
  CALIFA411   UGC06455                 422.6740112   253.2910004   55.0         
  CALIFA412   NGC3683                  223.3500061   216.5059967   70.0         
  CALIFA413   NGC3682                  219.0720062   218.2160034   55.0         
  CALIFA414   NGC3687                  219.427002    218.572998    55.0         
  CALIFA415   NGC3697                  218.572998    216.0119934   55.0         
  CALIFA416   NGC3683A                 219.427002    218.572998    55.0         
  CALIFA417   NGC3712                  224.2050018   225.0599976   55.0         
  CALIFA418   NGC3752                  219.0720062   219.927002    55.0         
  CALIFA419   UGC06526                 222.8410034   218.572998    55.0         
  CALIFA420   NGC3728                  219.9279938   217.3609924   55.0         
  CALIFA421   NGC3725                  222.8410034   216.8659973   60.0         
  CALIFA422   UGC06545                 215.6499939   217.3609924   55.0         
  CALIFA423   UGC06588                 217.7200012   216.8659973   55.0         
  CALIFA424   NGC3762                  221.1340027   224.5480042   40.0         
  CALIFA425   NGC3772                  217.7200012   224.5480042   30.0         
  CALIFA426   NGC3753                  210.8919983   126.3929977   55.0         
  CALIFA427   UGC06617                 222.4940033   217.3609924   55.0         
  CALIFA428   NGC3780                  219.0720062   221.6380005   75.0         
  CALIFA429   NGC3786                  217.3609924   227.6269989   35.0         
  CALIFA430   NGC3800                  219.9279938   217.3609924   40.0         
  CALIFA431   NGC3798                  220.2799988   214.3049927   60.0         
  CALIFA432   NGC3801                  222.4940033   218.2160034   40.0         
  CALIFA433   NGC3805                  152.345993    218.2160034   50.0         
  CALIFA434   NGC3812                  219.9279938   219.0720062   35.0         
  CALIFA435   NGC3809                  219.9279938   221.6380005   55.0         
  CALIFA436   NGC3811                  219.427002    219.427002    50.0         
  CALIFA437   NGC3815                  218.572998    217.7189941   55.0         
  CALIFA438   UGC06653                 216.8659973   219.4259949   50.0         
  CALIFA439   NGC3816                  362.8179932   317.5809937   55.0         
  CALIFA440   NGC3825                  219.9279938   214.7949982   50.0         
  CALIFA441   UGC06677                 214.3059998   163.0939941   50.0         
