# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA090    9.318  14.924    9.361  14.446    8.549  13.107    7.642  10.280   12.001  17.607   12.680  17.765   13.791  18.349   14.246  16.884
    CALIFA091    8.622  14.576    8.647  14.092    6.699  12.308    5.517   9.268   11.305  17.259   11.966  17.411   11.941  17.550   12.121  15.872
    CALIFA092    9.450  14.991    9.500  14.519    9.013  13.418    8.320  10.641   12.133  17.674   12.819  17.838   14.255  18.660   14.924  17.245
    CALIFA093   10.154  15.340   10.212  14.867    9.577  13.567    8.044  10.473   12.837  18.023   13.531  18.186   14.819  18.809   14.648  17.077
    CALIFA094    8.967  14.749    8.867  14.202    5.373  11.665    3.674   8.350   11.650  17.432   12.186  17.521   10.615  16.907   10.278  14.954
    CALIFA095    9.804  15.160    9.802  14.665    6.849  12.375    5.273   9.146   12.487  17.843   13.121  17.984   12.091  17.617   11.877  15.750
    CALIFA096   10.342  15.432   10.358  14.940    9.106  13.432    8.395  10.661   13.025  18.115   13.677  18.259   14.348  18.674   14.999  17.265
    CALIFA097    9.752  15.139    9.680  14.605    6.407  12.159    4.870   8.945   12.435  17.822   12.999  17.924   11.649  17.401   11.474  15.549
    CALIFA098    9.220  14.874    9.255  14.391    8.931  13.204    7.116  10.022   11.903  17.557   12.574  17.710   14.173  18.446   13.720  16.626
    CALIFA099    9.901  15.216    9.931  14.733    9.345  13.571    8.701  10.826   12.584  17.899   13.250  18.052   14.587  18.813   15.305  17.430
    CALIFA100    8.890  14.709    8.768  14.152    5.249  11.600    3.297   8.162   11.573  17.392   12.087  17.471   10.491  16.842    9.901  14.766
    CALIFA101    8.284  14.402    8.327  13.930    7.869  12.855    6.742   9.856   10.967  17.085   11.646  17.249   13.111  18.097   13.346  16.460
